Title,Story_Trunc120Char,,,,,,,,,,,
Beyond the Bake Sale,"To support children to gain equal access to quality education, 100% of the profit from this bake sale will be donated to ",,,,,,,,,,,
KDF Millennium Ride 2019 - Annie Shu Ning,Thank you for visiting my fundraising page. Thank you for your support in the past 5 years of KDF Millennium Ride. As you ,,,,,,,,,,,
Women in Red - Fundraise for Good this Christmas #WomenInRed,"A fundraise to create awareness and help unfortunates to have a better life, a little help from everyone can change their ",,,,,,,,,,,
Raising money to end slavery,"We believe everyone, everywhere has the right to a life free from slavery. But right now, millions of children and adults ",,,,,,,,,,,
Let's Do Good Feel Good this Christmas!,Food - a basic human need. One might be surprised to learn that hunger still exists in a food paradise and wealthy city-state ,,,,,,,,,,,
Help Paul & Carla build 2 houses in Nepal!,"Thanks for finding our fundraising page!! We are Paul Foster and Carla Dunareanu, the Habitat For Humanity Singapore Ambassadors! ",,,,,,,,,,,
Gift A Life For Baby Yung,You might have seen her face recently in The Straits Times article about the Good Samaritan Family in Marsiling who opens ,,,,,,,,,,,
Final Journey Funeral Expenses - HJ0263,"We regret to announce that Uncle Kang who is under our care had passed away today. Uncle Kang, a senior elderly, age 71, ",,,,,,,,,,,
Give Isaac a chance to LIVE,"Isaac Ng needs you. Please give Isaac a chance for CURE, a chance to LIVE Isaac Ng is a fun-loving cheerful 5 year old boy. ",,,,,,,,,,,
Help Jake the Diver give his family a home in Singapore,A fellow diver has recently perished to the ocean leaving his pregnant wife with 2 children aged just 3 & 6.... and their ,,,,,,,,,,,
Dare Month / 2020,Thank you for donating during Dare Month! Please enter your name and the name of the person who completed the dare in the ,,,,,,,,,,,
Help Our Premature Baby Zoey,"Help Our Premature Baby Zoey (Born during Covid 19) I’m David Lim, from Malaysia, myself and my wife works here in Singapore. ",,,,,,,,,,,
"Orphanage Education Campaign in Batam, Indonesia",Education for 35 orphans We are a group of friends that have been helping the ElShaddai Abigail Orphanage for the past year ,,,,,,,,,,,
Do a Donation walk for Rainbow Centre Singapore.,"Walk for Charity My name is Tay Yong Hung, 68 years old and a volunteer at Rainbow Centre’s Yishun Park campus. It has been ",,,,,,,,,,,
SJJPedals for Ride for Rations - Sunlove Abode,Thank you for visiting our fundraising page! James and SJ have committed to riding 440km in the month of September to raise ,,,,,,,,,,,
Baby Ziv Needs Help (28 weeks Premature Baby),"Hi everyone! This is Aziel Ziv, my son, born at 28weeks on Apr. 30, prematurely because I was diagnosed with incompetent ",,,,,,,,,,,
