Title,Story_Trunc120Char
Help us provide life-changing support to underprivileged children in Nepal,"The Nepal Initiative is a charitable foundation that was established to support education, children’s welfare and sustainable "
Briyani Charity Drive for Muhammadiyah,This fundraising project is organised by Muhammadiyah Association to raise funds to upgrade and repair our facilities at 
#TeamBHP RfR2020,This year marks Ride for Rations (RfR) 10th anniversary and is challenging you once again to help put an end to hunger. 
Help Baby Van Hau For His Hydrocephalus,"Baby Van Hau is only 3.5 months old, and he was born with Hydrocephalus. The parents didn’t know their son was infected "
Aon Supporting #StayStrongIndia,The outbreak of COVID-19 has been dominating news headlines across the world and no doubt has been weighing heavily on many 
Walk for You,"Dear friends,

Do you know Singapore Cancer Society (SCS) provides free transportation for low-income cancer patients between "
Will you please help Nita battle nasal cancer and get a second life for her daughters today?,"Dear Friend and fellow-parent, Please help give me a chance against nasopharyngeal cancer so that I can stay in this world "
Go The Dystance 2020 Fundraiser,"MDAS would like to appeal for your generosity in support of Go The Dystance 2020 Fundraiser; we aim to raise $100,000 which "
Give baby Jayden a fighting chance,Baby Jayden is only 2 years old and is recently diagnosed with high-risk neuroblastoma cancer. I am a personal family friend 
this little thing called love,Baby Bao was diagnosed with Sarcoma Cancer when she was 4 months old. Sarcomas are rare but aggressive tumours arise from 
Please help save this 2-year old girl's remaining eye,Please help save this 2-year old girl's remaining eye She’s only 2 but has endured so much—born with mild autism and severe 
YEN’S FIGHT FOR LIFE,"YEN’S FIGHT FOR LIFE 
#FightWithYen #YensFightForLife #YensLifeMatters Hello everyone!

Earlier this year, our dearest Rheena, "
Help Them Make It Through the Pandemic,"Support Child at Street 11’s e-Flag Day 2021

Child at Street 11 is a registered charity that has been providing
childcare "
Help Baby Girl Giulana Rose,"James and his wife are both S-Pass holders working in Singapore, and they had the joy of their life when they heard they "
Mask of Solidarity - a Medix-Global Initiative,"Thank you for visiting the Mask of Solidarity fundraising page, an initiative conceived and supported by Medix-Global. Mask "
Help my father fight against broken bone and lung infection,Pre-existing condition: My name is Irvan. I grew up in a small family from Indonesia but I am currently pursuing my education 
Ride For Rations 2021: Raising Funds By Raising Our Mileage!,"""What's for breakfast?"" ... is how we greet each other on our regular rides, and we hope to help answer that question for "
Baby Ha Tri Unfortunate Life,"Baby Ha Tri was born on June 2017, together with his twin sister and prematurely on their 27 weeks. For the longest time, "
Let's Fight Cancer With Abhee,"Our Cry for Help: Abheelash, or lovingly called Abhee will be turning 13 years old on 8th March . After scoring 6As in his "
Thai Lakorn SG Beirut Lebanon Relief Fund,"Thank you for visiting our fundraising page! We hope you will support our cause by making a donation!

In collaboration "
Help Us Create the COVID-19 Prevention and Treatment Graphic Novel,"Help us complete the COVID-19 Prevention and Treatment Graphic Novel! On March 27 2020, the United Nations announced a GLOBAL "
Emergency Twin Labour in NYC,"UPDATE AUG 2020

Safely back in Singapore, the boys are well and growing tremendously well thanks to all the experts here "
Help Mdm Loh to ease her burden & suffering - HJ0264,"Mdm Loh, a senior elderly, comes from the forgotten low income cluster of Singapore has been staying alone in a 1 room rental "
Please Save Uncle Brian,"Save my stepdad Dear friends, 

We appeal and seek your help... On 19th August, my stepdad suffered a sudden heart attack "
I CANNOT lose my job. But I must keep sane. Heal our workers-migrants n locals #GreatSingaporeGive,"Our workers need your help!

Join us as we hope to be able to help them with their issues.

We started with a simple reason "
Save My Mother Maria,"My name is Dona, and I’m here in Singapore on long term visit pass with 2 of my children to be with my husband, who is a "
Fighting Against the 2019-nCoV Emergency in China,NUS MBA Student-Led Fundraising Initiative for Fighting Against the 2019-nCoV Situation in China | OUR CAUSE | As NUS MBA 
Help Karen's Father To Go Home,"Karen been working in Singapore since 2007, starting from being a domestic helper till she got married last year to a Singaporean, "
Give baby Manvith V a fighting chance,Please help save a life Help us save a baby's life Name: Manvith Age: 7 months Suffering from severe pneumonia Needs immediate 
Our Baby Warrior Now A Baby ANGEL ??,"I Am Tyler, a 4 months happy baby boy. At the age of 3 months, I started to feel sick  and having seizures. My mom who was "
COMPASSION 2021 RAMADAN CAMPAIGN - FUND A FAMILY A FEAST,"Ramadan - the month of forgiveness, fasting and prayers is coming soon this 13th of April 2021. What better way to welcome "
